sw_l2_name,total_count,default_passed_count
汽车零部件,268,233
通用设备,246,226
专用设备,201,171
化学制品,183,162
半导体,178,151
化学制药,157,145
软件开发,135,126
电网设备,138,125
医疗器械,139,120
IT服务Ⅱ,132,117
环境治理,108,101
电力,102,100
电池,109,100
消费电子,99,89
光学光电子,95,87
自动化设备,90,83
通信设备,89,83
计算机设备,90,81
房地产开发,88,77
塑料,78,71
家居用品,76,63
中药Ⅱ,68,62
光伏设备,70,61
一般零售,59,58
工业金属,61,58
农化制品,61,56
化学原料,59,56
元件,64,55
军工电子Ⅱ,63,54
生物制品,55,51
服装家纺,60,50
证券Ⅱ,50,49
医疗服务,52,47
工程咨询服务Ⅱ,47,44
包装印刷,47,42
物流,48,41
航空装备Ⅱ,47,41
基础建设,45,37
专业工程,40,36
航运港口,35,34
装修建材,39,34
通信服务,39,34
工程机械,35,33
电子化学品Ⅱ,35,33
铁路公路,33,33
家电零部件Ⅱ,35,32
纺织制造,33,31
专业服务,34,30
其他电子Ⅱ,34,30
医药商业,32,30
煤炭开采,30,30
炼化及贸易,30,29
出版,29,28
燃气Ⅱ,31,28
轨交设备Ⅱ,33,28
金属新材料,35,28
饮料乳品,27,27
广告营销,28,26
风电设备,30,26
其他电源设备Ⅱ,31,25
多元金融,26,25
游戏Ⅱ,26,25
环保设备Ⅱ,28,25
电机Ⅱ,28,24
食品加工,27,23
化学纤维,28,22
小金属,27,22
文娱用品,22,22
造纸,24,22
养殖业,23,21
小家电,22,21
普钢,23,21
种植业,22,21
休闲食品,22,20
农产品加工,25,20
旅游及景区,24,20
橡胶,23,20
水泥,21,20
白酒Ⅱ,19,19
饲料,18,18
城商行Ⅱ,17,17
影视院线,19,17
互联网电商,18,16
化妆品,15,15
摩托车及其他,17,15
玻璃玻纤,16,15
电视广播Ⅱ,15,14
综合Ⅱ,15,14
调味发酵品Ⅱ,15,14
商用车,13,13
照明设备Ⅱ,14,13
能源金属,13,13
装修装饰Ⅱ,22,13
饰品,15,13
个护用品,12,12
动物保健Ⅱ,13,12
数字媒体,14,12
特钢Ⅱ,12,12
航空机场,12,12
贸易Ⅱ,12,12
地面兵装Ⅱ,12,11
汽车服务,11,11
油服工程,14,11
贵金属,11,11
非金属材料Ⅱ,13,11
农商行Ⅱ,10,10
教育,15,10
航海装备Ⅱ,10,10
非白酒,16,10
冶钢原料,9,9
房地产服务,11,9
白色家电,10,9
股份制银行Ⅱ,9,9
黑色家电,10,9
乘用车,8,8
航天装备Ⅱ,9,8
酒店餐饮,9,8
专业连锁Ⅱ,7,7
厨卫电器,9,7
房屋建设Ⅱ,8,7
焦炭Ⅱ,7,7
国有大型银行Ⅱ,6,6
渔业,6,6
保险Ⅱ,5,5
其他家电Ⅱ,3,3
农业综合Ⅱ,3,3
医疗美容,4,3
林业Ⅱ,4,3
体育Ⅱ,2,2
旅游零售Ⅱ,2,2
油气开采Ⅱ,4,2
未分类,9,0
